,user_id,age,gender,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,sleep_duration_hours,sleep_quality,mood_rating,stress_level,physical_activity_hours_per_week,location_type,mental_health_score,uses_wellness_apps,eats_healthy,caffeine_intake_mg_per_day,weekly_anxiety_score,weekly_depression_score,mindfulness_minutes_per_day,anxiety_cat,y
61,user_62,59,Female,3.1,1.0,0.7,1.8,2.1,0.8,3.2,0.4,5.3,3,4,9,2.2,Urban,68,1,0,276.3,8,17,0.0,Medium anxiety score,0
62,user_63,47,Female,1.0,2.2,1.0,0.6,3.7,2.4,2.7,2.4,5.7,1,2,7,4.5,Suburban,50,1,1,240.7,5,17,4.6,Low anxiety score,0
63,user_64,26,Female,4.3,2.2,1.6,1.7,0.0,2.5,3.3,0.7,6.0,10,7,7,3.0,Rural,49,0,0,231.5,5,20,14.5,Low anxiety score,0
64,user_65,29,Female,0.0,3.0,1.1,0.8,3.5,3.3,3.4,1.8,7.1,1,2,5,2.7,Suburban,50,1,0,186.4,10,2,22.1,Medium anxiety score,0
65,user_66,48,Female,2.0,1.5,1.0,0.6,3.6,2.6,1.8,1.8,4.7,1,7,10,1.2,Rural,75,0,1,207.6,9,6,15.2,Medium anxiety score,0
66,user_67,62,Female,3.6,1.8,0.8,1.5,1.4,1.7,2.7,0.0,6.7,5,7,1,5.8,Urban,23,0,1,125.8,13,12,1.8,Medium anxiety score,1
67,user_68,52,Female,1.3,3.1,1.5,0.0,1.2,0.7,3.6,1.9,7.4,5,1,6,5.0,Urban,37,1,0,145.9,5,6,6.5,Low anxiety score,0
68,user_69,16,Female,3.9,0.0,0.4,1.4,1.9,2.4,2.7,0.0,6.6,1,10,10,4.8,Suburban,39,0,1,140.1,6,12,12.7,Low anxiety score,0
69,user_70,14,Female,1.7,2.3,0.6,2.2,1.1,2.4,1.6,0.4,6.6,5,10,6,2.9,Rural,59,0,1,116.8,8,3,8.7,Medium anxiety score,0
70,user_71,18,Male,1.2,1.7,0.3,2.8,2.4,2.8,2.9,1.9,6.1,7,3,10,3.8,Suburban,59,0,1,157.3,2,15,3.6,Low anxiety score,0
71,user_72,54,Male,4.9,2.7,1.1,2.6,2.6,1.7,2.0,1.3,6.6,5,3,4,0.0,Urban,72,0,1,123.8,11,14,7.7,Medium anxiety score,1
72,user_73,16,Male,3.2,2.5,1.6,2.9,0.1,2.3,3.3,0.9,6.0,9,6,2,3.4,Urban,67,1,1,153.1,15,12,9.9,High anxiety score,1
73,user_74,41,Female,3.8,1.3,0.8,1.0,0.9,0.1,4.4,0.0,6.3,4,3,1,6.8,Urban,66,1,1,81.0,12,9,1.3,Medium anxiety score,1
74,user_75,30,Female,4.5,1.5,0.5,0.5,0.6,0.8,3.4,2.2,6.0,9,9,3,1.8,Urban,69,0,1,123.3,5,9,17.9,Low anxiety score,0
75,user_76,38,Female,0.0,0.0,1.8,2.3,2.3,3.1,1.4,1.6,6.3,8,5,9,1.0,Suburban,42,0,1,215.8,12,4,6.5,Medium anxiety score,1
76,user_77,56,Female,4.0,2.7,1.2,1.0,3.0,2.2,2.9,0.3,6.1,1,6,1,2.7,Urban,70,0,1,159.7,4,3,9.4,Low anxiety score,0
77,user_78,46,Female,1.9,2.2,1.1,1.5,0.7,2.6,0.0,0.2,5.1,4,6,5,1.3,Rural,57,0,0,216.7,3,18,18.3,Low anxiety score,0
78,user_79,22,Male,2.1,3.4,0.9,2.2,3.0,1.3,2.4,2.2,4.7,7,8,10,1.2,Rural,28,0,1,119.7,7,14,9.0,Medium anxiety score,0
79,user_80,48,Female,3.7,1.6,1.3,3.5,0.9,1.1,3.7,1.5,6.6,1,10,6,3.5,Rural,80,0,0,137.6,2,8,17.8,Low anxiety score,0
80,user_81,26,Female,2.5,2.9,1.1,2.0,2.9,1.5,3.0,0.0,7.2,8,3,9,4.6,Rural,35,0,0,160.7,1,15,1.8,Low anxiety score,0
81,user_82,43,Female,3.9,0.9,0.8,1.7,1.7,2.3,2.6,0.5,8.4,2,9,1,3.5,Urban,40,1,1,140.3,19,3,13.5,High anxiety score,1
82,user_83,60,Male,2.9,0.0,0.8,0.4,1.5,2.8,5.3,3.2,7.8,8,7,5,0.7,Rural,28,1,0,80.3,18,10,16.7,High anxiety score,1
83,user_84,27,Male,3.3,1.9,0.5,2.7,3.4,1.7,0.3,2.2,7.6,4,6,1,1.7,Urban,71,1,1,178.3,6,16,3.4,Low anxiety score,0
84,user_85,20,Male,2.3,1.4,0.4,1.9,4.1,0.0,0.6,1.2,6.8,8,1,2,3.6,Rural,44,1,0,100.7,11,20,8.6,Medium anxiety score,1
85,user_86,26,Male,1.4,0.9,0.9,1.2,0.0,2.5,3.1,1.2,6.6,1,4,2,4.3,Urban,68,0,1,149.5,3,0,8.7,Low anxiety score,0
86,user_87,35,Female,1.9,2.9,1.6,1.0,2.7,2.3,3.7,0.0,5.6,5,5,5,2.6,Urban,55,1,1,43.5,9,8,11.7,Medium anxiety score,0
87,user_88,52,Male,2.8,3.2,0.5,1.1,2.2,2.6,3.7,2.5,5.4,9,2,10,1.2,Urban,66,1,1,117.6,8,11,13.8,Medium anxiety score,0
88,user_89,33,Female,5.8,2.1,1.4,1.5,2.8,3.0,1.8,0.7,6.7,7,1,4,4.5,Urban,62,1,0,143.7,11,11,2.7,Medium anxiety score,1
89,user_90,28,Female,5.2,1.8,0.6,0.0,0.3,2.9,1.4,0.4,5.5,3,2,6,6.6,Rural,33,0,1,178.1,10,9,9.5,Medium anxiety score,0
90,user_91,57,Male,2.0,2.1,0.1,2.7,0.7,3.6,1.2,1.9,6.4,4,8,5,5.2,Rural,36,1,0,88.2,20,8,22.7,High anxiety score,1
91,user_92,30,Male,3.1,1.3,1.3,2.5,1.2,2.0,2.9,0.6,3.5,10,10,2,7.0,Suburban,47,1,0,105.4,18,20,18.4,High anxiety score,1
92,user_93,59,Male,2.6,2.6,1.8,1.3,2.3,1.5,1.2,0.0,7.1,7,6,9,1.8,Suburban,64,0,0,238.2,1,19,16.4,Low anxiety score,0
93,user_94,36,Male,3.2,0.5,0.6,1.1,1.1,3.2,3.9,1.6,5.3,6,10,10,5.1,Suburban,60,1,1,248.3,5,15,8.5,Low anxiety score,0
94,user_95,38,Male,3.4,0.9,0.2,1.5,1.6,3.1,2.5,0.0,4.8,4,2,8,5.6,Urban,75,0,0,175.7,5,12,27.0,Low anxiety score,0
95,user_96,37,Female,3.8,1.2,1.2,1.6,3.0,1.7,1.6,1.1,7.4,3,9,9,2.0,Suburban,67,0,1,214.0,0,2,18.2,Low anxiety score,0
96,user_97,57,Male,0.0,2.5,0.5,1.2,4.5,3.3,1.6,1.5,7.7,2,8,6,1.3,Urban,27,0,0,130.3,6,17,10.3,Low anxiety score,0
97,user_98,53,Other,3.5,1.7,1.3,2.5,2.9,2.1,0.5,0.9,6.4,10,4,5,1.1,Suburban,33,0,0,182.7,11,3,11.8,Medium anxiety score,1
98,user_99,41,Male,2.4,3.4,1.6,0.1,3.0,3.5,1.5,0.9,5.6,9,10,5,2.8,Rural,34,1,1,180.2,20,18,6.3,High anxiety score,1
99,user_100,27,Female,1.9,2.8,1.2,0.8,1.8,4.1,1.8,2.8,7.4,3,7,2,0.0,Urban,58,0,1,102.9,11,12,13.1,Medium anxiety score,1
101,user_102,13,Female,5.2,2.6,1.4,1.8,1.6,2.1,2.4,0.3,6.3,1,6,2,0.4,Rural,78,1,0,135.2,20,11,15.6,High anxiety score,1
102,user_103,37,Female,4.0,1.6,1.5,0.8,1.9,3.7,1.4,0.6,8.1,8,3,2,3.8,Rural,30,0,1,168.4,5,0,8.6,Low anxiety score,0
103,user_104,19,Female,2.2,2.5,1.0,1.9,0.6,3.0,0.9,0.7,7.0,1,10,8,0.0,Rural,48,1,1,123.2,13,1,0.0,Medium anxiety score,1
104,user_105,21,Female,1.4,2.9,1.4,0.7,3.0,3.1,2.2,1.2,6.4,2,3,4,7.1,Suburban,22,1,0,77.3,16,2,11.9,High anxiety score,1
105,user_106,36,Female,0.0,3.1,1.1,1.2,3.8,2.5,0.0,1.1,6.2,1,9,4,5.5,Urban,58,0,1,150.9,16,20,15.7,High anxiety score,1
106,user_107,13,Female,3.3,2.2,1.2,2.5,2.1,3.1,2.1,2.9,6.6,4,6,7,0.0,Urban,41,1,1,191.5,17,20,2.2,High anxiety score,1
108,user_109,20,Male,2.8,2.4,1.1,1.8,3.5,2.0,2.2,0.2,5.1,1,4,9,2.5,Suburban,60,1,0,61.2,12,11,20.7,Medium anxiety score,1
109,user_110,36,Female,4.4,2.1,0.3,0.4,0.8,1.2,2.7,0.6,7.9,1,4,9,3.3,Urban,39,1,1,159.1,10,15,0.4,Medium anxiety score,0
110,user_111,23,Female,1.0,1.7,0.9,1.1,0.0,1.1,2.5,1.6,6.0,2,8,3,4.3,Suburban,38,1,1,184.4,2,13,7.7,Low anxiety score,0
111,user_112,63,Female,2.7,1.4,0.8,1.6,1.4,0.3,0.7,0.9,6.3,6,7,6,1.4,Rural,32,0,0,156.9,16,13,21.9,High anxiety score,1
112,user_113,29,Female,2.6,2.4,0.9,3.0,2.1,1.4,4.8,1.5,7.5,2,5,7,2.9,Rural,46,0,1,193.2,1,16,11.3,Low anxiety score,0
113,user_114,20,Other,2.8,2.1,1.5,0.0,0.6,1.8,2.0,1.0,6.3,2,2,3,0.0,Urban,38,1,1,79.5,1,4,5.8,Low anxiety score,0
114,user_115,47,Male,4.8,2.3,1.6,0.6,3.7,2.2,2.5,1.9,7.6,8,6,4,3.2,Urban,35,1,1,92.7,6,5,9.9,Low anxiety score,0
115,user_116,47,Male,2.8,2.5,0.9,2.6,4.3,2.0,1.6,1.1,6.4,5,1,1,0.0,Rural,21,0,1,179.5,9,9,16.6,Medium anxiety score,0
116,user_117,45,Male,2.6,2.3,0.3,2.9,2.2,3.3,4.0,0.0,6.6,8,7,9,5.6,Suburban,20,0,0,132.6,13,8,8.4,Medium anxiety score,1
117,user_118,17,Female,1.6,4.0,1.0,1.4,0.8,0.9,0.6,0.9,6.8,8,9,7,0.1,Rural,22,0,1,208.6,20,6,14.8,High anxiety score,1
118,user_119,54,Female,5.0,1.5,0.7,3.0,2.6,0.0,4.2,3.4,6.9,2,5,10,3.6,Rural,43,1,1,165.3,18,3,11.9,High anxiety score,1
119,user_120,51,Male,0.9,2.4,1.1,0.8,0.8,2.6,2.1,2.4,7.2,7,5,7,4.7,Urban,63,0,0,105.2,16,6,12.5,High anxiety score,1
120,user_121,53,Female,2.2,1.8,0.9,0.0,3.4,1.9,1.8,0.0,7.8,9,7,9,6.7,Urban,57,1,1,102.7,15,10,15.3,High anxiety score,1
121,user_122,40,Male,5.5,0.0,1.6,2.3,1.7,1.9,1.7,3.0,7.7,8,5,6,6.5,Urban,21,1,1,56.2,16,5,7.6,High anxiety score,1
122,user_123,19,Female,3.7,1.8,1.1,2.8,2.9,1.1,4.9,1.3,5.5,9,10,8,5.8,Suburban,75,0,0,184.4,17,15,2.4,High anxiety score,1
123,user_124,21,Female,3.0,1.1,0.7,2.8,3.1,3.1,0.4,0.7,8.2,8,4,5,3.0,Urban,35,0,1,144.2,10,15,13.8,Medium anxiety score,0
124,user_125,20,Male,3.0,1.9,0.3,0.6,2.6,1.5,1.8,0.9,4.5,4,1,8,5.2,Suburban,48,1,1,195.8,18,12,8.9,High anxiety score,1
125,user_126,24,Female,1.6,2.0,1.0,1.7,4.1,0.9,0.8,1.3,5.7,10,6,10,3.6,Rural,56,0,0,162.9,10,11,6.4,Medium anxiety score,0
126,user_127,46,Male,2.9,2.4,1.0,2.3,2.2,4.0,0.1,2.3,6.3,7,9,1,3.7,Urban,63,0,1,155.7,9,1,14.2,Medium anxiety score,0
127,user_128,45,Male,2.5,1.5,0.9,1.8,1.4,2.8,4.2,1.4,5.1,9,4,3,1.8,Rural,23,0,1,190.8,13,20,20.2,Medium anxiety score,1
128,user_129,60,Male,3.3,1.6,1.4,2.9,0.0,2.0,2.5,1.5,6.8,9,10,4,6.5,Suburban,33,0,0,145.1,13,12,8.8,Medium anxiety score,1
129,user_130,35,Male,0.7,2.7,0.3,1.1,0.0,0.0,1.0,2.4,7.4,4,4,9,1.4,Rural,36,0,0,133.4,9,0,10.1,Medium anxiety score,0
130,user_131,36,Male,3.6,1.2,0.6,1.4,2.8,1.7,3.6,0.8,5.6,7,5,8,0.9,Urban,63,1,0,150.0,20,9,0.5,High anxiety score,1
131,user_132,49,Female,4.5,0.2,1.0,1.7,1.8,2.0,2.0,1.5,7.1,6,6,8,3.8,Urban,64,1,0,192.1,3,9,8.2,Low anxiety score,0
132,user_133,47,Female,2.7,2.2,0.7,2.3,1.0,3.8,1.7,1.6,7.5,3,3,2,0.0,Urban,36,1,1,102.9,9,10,11.8,Medium anxiety score,0
133,user_134,56,Female,4.0,3.1,0.8,1.3,0.7,0.0,3.2,1.3,4.2,10,9,7,3.2,Urban,39,0,0,196.2,5,8,9.8,Low anxiety score,0
134,user_135,52,Male,3.5,2.7,1.0,2.4,2.9,3.9,2.0,1.7,6.7,6,1,3,6.3,Urban,79,0,1,153.2,10,3,7.1,Medium anxiety score,0
135,user_136,34,Female,2.1,2.2,1.3,3.1,0.8,2.5,1.2,0.5,6.9,8,6,6,3.8,Rural,66,0,1,130.8,17,16,15.8,High anxiety score,1
136,user_137,39,Male,1.4,3.3,0.9,1.0,4.0,0.6,3.4,2.2,5.4,2,6,4,3.1,Urban,48,0,0,159.2,5,18,10.5,Low anxiety score,0
137,user_138,47,Male,1.6,3.1,0.0,1.3,4.8,3.1,2.3,0.6,5.1,3,8,6,1.3,Rural,60,0,1,208.8,20,9,30.7,High anxiety score,1
138,user_139,13,Female,3.4,1.7,0.7,2.5,0.9,1.7,3.5,1.7,5.7,8,5,4,0.0,Suburban,45,0,1,208.4,14,12,11.7,High anxiety score,1
139,user_140,47,Male,2.9,2.2,1.2,3.4,2.8,0.0,2.0,1.4,6.3,4,9,3,4.7,Urban,61,0,1,169.6,5,1,0.0,Low anxiety score,0
140,user_141,49,Female,4.9,2.3,1.4,2.1,2.5,1.5,3.8,0.5,5.6,4,9,2,3.1,Suburban,57,0,0,181.3,19,8,1.1,High anxiety score,1
141,user_142,59,Female,4.2,1.9,1.4,0.7,0.8,2.3,2.5,2.8,7.2,2,2,4,4.2,Rural,36,0,0,152.2,0,6,14.3,Low anxiety score,0
142,user_143,26,Male,4.2,3.1,1.6,1.7,0.8,2.1,3.9,2.9,7.0,10,5,10,0.0,Suburban,31,0,0,120.8,8,9,4.9,Medium anxiety score,0
143,user_144,15,Male,3.4,1.8,1.1,2.5,1.9,2.8,3.8,0.3,7.0,1,7,2,4.5,Urban,75,0,0,172.2,13,11,5.4,Medium anxiety score,1
144,user_145,13,Male,1.6,1.5,1.1,0.7,0.6,3.3,4.1,2.0,8.0,7,2,7,7.0,Rural,47,1,1,127.6,2,19,0.1,Low anxiety score,0
145,user_146,17,Female,3.5,0.0,0.5,0.4,3.3,0.7,2.6,1.1,7.3,4,7,1,5.7,Urban,28,0,0,98.7,0,10,6.2,Low anxiety score,0
146,user_147,38,Male,3.1,1.2,0.0,1.2,1.7,2.0,3.0,0.5,6.8,6,9,1,3.6,Suburban,51,0,0,128.9,13,3,11.6,Medium anxiety score,1
147,user_148,26,Male,1.3,0.7,0.3,2.2,0.7,1.3,2.2,1.6,5.0,8,8,5,0.9,Suburban,53,0,1,67.9,13,11,13.1,Medium anxiety score,1
148,user_149,51,Male,4.8,2.0,0.6,0.1,1.9,0.5,1.3,2.0,7.9,7,10,7,3.2,Urban,35,0,0,88.1,3,11,1.8,Low anxiety score,0
149,user_150,39,Female,4.7,0.7,0.3,0.8,2.6,1.9,5.1,1.4,8.0,7,9,1,3.3,Urban,67,1,0,251.5,13,7,16.4,Medium anxiety score,1
150,user_151,21,Male,1.3,2.6,0.9,1.8,1.1,2.5,1.5,0.8,6.1,6,4,4,2.0,Rural,73,0,1,206.3,3,19,0.5,Low anxiety score,0
151,user_152,27,Male,2.0,3.1,0.8,2.6,0.0,2.6,3.7,2.5,5.5,4,8,5,2.2,Rural,50,1,1,138.0,10,13,13.5,Medium anxiety score,0
152,user_153,27,Female,2.2,2.0,1.5,1.8,2.2,1.5,3.4,2.6,7.4,4,9,2,7.2,Suburban,74,0,0,176.1,19,6,12.7,High anxiety score,1
153,user_154,38,Other,3.9,1.0,0.5,1.9,0.5,0.8,2.7,0.5,4.3,9,10,7,1.1,Urban,46,1,0,102.5,8,2,2.5,Medium anxiety score,0
154,user_155,54,Male,3.7,2.3,1.1,2.5,1.0,1.2,2.3,1.3,7.0,5,2,4,2.1,Urban,48,1,0,183.1,10,18,1.6,Medium anxiety score,0
